# Generated by matlabSample/mainHCW.m
# Osculating Keplerian elements (chief: GEO circular equatorial)
# Columns match mRendering orbit_mechanics.CsvEphemeris.
time_s,a_km,e,inc_rad,raan_rad,ome_rad,f_rad
0,42164.0065206058,0.000118486163428983,0.00023714101666851,4.71262617765722,4.71191424813085,3.14206732959384
10,42164.0065154204,0.000118486286500567,0.00023714101666851,4.71262591820521,4.71191373012853,3.14279715008719
20,42164.0065102389,0.000118486409549031,0.00023714101666851,4.71262565875357,4.71191321364062,3.14352696906529
30,42164.0065050612,0.000118486532575046,0.00023714101666851,4.71262539930271,4.71191269866577,3.1442567865296
40,42164.0064998872,0.000118486655577372,0.00023714101666851,4.71262513985305,4.71191218520255,3.14498660248161
50,42164.0064947171,0.000118486778555672,0.00023714101760485,4.71262488040501,4.71191167324956,3.14571641692194
60,42164.0064895508,0.000118486901511082,0.00023714101760485,4.71262462095899,4.71191116280544,3.1464462298519
70,42164.0064843882,0.000118487024442448,0.00023714101760485,4.71262436151537,4.71191065386877,3.14717604127267
80,42164.0064792295,0.000118487147348585,0.00023714101854119,4.71262410207454,4.71191014643807,3.14790585118526
90,42164.0064740746,0.000118487270230527,0.00023714101854119,4.71262384263695,4.71190964051202,3.14863565959072
100,42164.0064689234,0.00011848739308796,0.00023714101854119,4.71262358320302,4.7119091360892,3.14936546649015
110,42164.0064637761,0.000118487515919786,0.00023714101947753,4.71262332377319,4.71190863316812,3.15009527188468
120,42164.0064586326,0.000118487638727315,0.00023714102041387,4.71262306434786,4.71190813174753,3.1508250757752
130,42164.006453493,0.000118487761507691,0.00023714102041387,4.71262280492748,4.71190763182569,3.15155487816322
140,42164.0064483571,0.000118487884263474,0.00023714102135021,4.71262254551246,4.71190713340153,3.15228467904937
150,42164.0064432251,0.000118488006992116,0.00023714102135021,4.71262228610322,4.71190663647334,3.15301447843507
160,42164.0064380968,0.000118488129695359,0.00023714102228655,4.71262202670017,4.71190614103986,3.15374427632123
170,42164.0064329724,0.000118488252371528,0.000237141023222889,4.71262176730373,4.71190564709961,3.1544740727091
180,42164.0064278519,0.00011848837502042,0.000237141024159229,4.71262150791432,4.71190515465112,3.15520386759969
190,42164.0064227351,0.000118488497642923,0.000237141025095569,4.71262124853234,4.711904663693,3.15593366099421
200,42164.0064176222,0.000118488620237827,0.000237141025563739,4.7126209891582,4.71190417422377,3.15666345289374
210,42164.0064125132,0.00011848874280464,0.000237141026500079,4.71262072979232,4.71190368624191,3.1573932432995
220,42164.006407408,0.0001184888653434,0.000237141027436419,4.7126204704351,4.71190319974607,3.15812303221251
230,42164.0064023066,0.000118488987854676,0.000237141028840929,4.71262021108696,4.71190271473481,3.1588528196339
240,42164.0063972091,0.000118489110337876,0.000237141029777269,4.71261995174829,4.71190223120674,3.15958260556477
250,42164.0063921154,0.000118489232791059,0.000237141030713609,4.71261969241952,4.71190174916005,3.16031239000658
260,42164.0063870256,0.000118489355216572,0.000237141031649949,4.71261943310103,4.71190126859368,3.16104217296009
270,42164.0063819396,0.000118489477611469,0.000237141033522628,4.71261917379326,4.71190078950585,3.16177195442679
280,42164.0063768575,0.000118489599978595,0.000237141034458968,4.71261891449659,4.71190031189555,3.16250173440732
290,42164.0063717793,0.000118489722314561,0.000237141035395308,4.71261865521145,4.71189983576065,3.16323151290352
300,42164.0063667048,0.000118489844621768,0.000237141037267988,4.71261839593824,4.71189936110032,3.1639612899159
310,42164.0063616343,0.000118489966898453,0.000237141038204328,4.71261813667737,4.71189888791265,3.16469106544604
320,42164.0063565677,0.000118490089144133,0.000237141040077007,4.71261787742905,4.71189841619616,3.16542083949534
330,42164.0063515048,0.000118490211359983,0.000237141041013347,4.71261761819351,4.71189794594973,3.16615061206476
340,42164.0063464459,0.000118490333544892,0.000237141042886027,4.71261735897125,4.71189747717164,3.16688038315558
350,42164.0063413908,0.000118490455697711,0.000237141043822367,4.71261709976276,4.71189700986016,3.16761015276919
360,42164.0063363397,0.000118490577819329,0.000237141045695047,4.71261684056851,4.71189654401418,3.16833992090628
370,42164.0063312923,0.000118490699910224,0.000237141047567726,4.71261658138897,4.71189607963224,3.16906968756793
380,42164.0063262489,0.000118490821969148,0.000237141049440406,4.71261632222461,4.71189561671264,3.16979945275549
390,42164.0063212094,0.000118490943994824,0.000237141051313085,4.71261606307588,4.71189515525362,3.17052921647037
400,42164.0063161737,0.000118491065988755,0.000237141052249425,4.71261580394324,4.71189469525426,3.17125897871307
410,42164.006311142,0.000118491187949222,0.000237141054122105,4.71261554482715,4.71189423671242,3.17198873948541
420,42164.0063061141,0.000118491309877661,0.000237141055526615,4.71261528572805,4.71189377962726,3.17271849878786
430,42164.0063010901,0.000118491431772661,0.000237141057399294,4.71261502664637,4.71189332399679,3.17344825662208
440,42164.00629607,0.000118491553634279,0.000237141059740144,4.71261476758255,4.71189286981971,3.17417801298902
450,42164.0062910538,0.000118491675462164,0.000237141062549163,4.71261450853704,4.71189241709425,3.17490776789009
