# Generated by matlabSample/mainHCW.m
# HCW relative motion (radial, along-track, cross-track) [km], identity attitude
time_s,x,y,z,qx,qy,qz,qw
700,4.99348740384951,9.48977045324794,9.98697480769902,0,0,0,1
710,4.99330004243654,9.48248792788043,9.98660008487309,0,0,0,1
720,4.99311002580668,9.47520567770179,9.98622005161335,0,0,0,1
730,4.99291735406096,9.46792370658428,9.98583470812193,0,0,0,1
740,4.99272202730186,9.46064201840003,9.98544405460373,0,0,0,1
750,4.99252404563325,9.45336061702105,9.98504809126651,0,0,0,1
760,4.99232340916042,9.44607950631922,9.98464681832085,0,0,0,1
770,4.99212011799006,9.43879869016594,9.98424023598012,0,0,0,1
780,4.99191417223016,9.43151817243083,9.98382834446032,0,0,0,1
790,4.99170557199023,9.42423795698567,9.98341114398046,0,0,0,1
800,4.99149431738121,9.41695804770247,9.98298863476243,0,0,0,1
810,4.99128040851546,9.40967844845304,9.98256081703092,0,0,0,1
820,4.99106384550672,9.40239916310894,9.98212769101345,0,0,0,1
830,4.99084462847018,9.39512019554152,9.98168925694035,0,0,0,1
840,4.9906227575224,9.38784154962193,9.9812455150448,0,0,0,1
850,4.99039823278138,9.38056322922106,9.98079646556275,0,0,0,1
860,4.99017105436651,9.37328523820959,9.98034210873302,0,0,0,1
870,4.98994122239861,9.36600758045799,9.97988244479723,0,0,0,1
880,4.9897087369999,9.35873025983649,9.9794174739998,0,0,0,1
890,4.989473598294,9.35145328021511,9.97894719658799,0,0,0,1
900,4.98923580640595,9.34417664546363,9.97847161281189,0,0,0,1
910,4.9889953614622,9.33690035945162,9.97799072292439,0,0,0,1
920,4.98875226359061,9.32962442604843,9.97750452718121,0,0,0,1
930,4.98850651292044,9.32234884912318,9.97701302584089,0,0,0,1
940,4.98825810958239,9.31507363254476,9.97651621916478,0,0,0,1
950,4.98800705370853,9.30779878018184,9.97601410741705,0,0,0,1
960,4.98775334543236,9.30052429590289,9.97550669086472,0,0,0,1
970,4.9874969848888,9.29325018357613,9.97499396977759,0,0,0,1
980,4.98723797221415,9.28597644706956,9.9744759444283,0,0,0,1
990,4.98697630754615,9.27870309025097,9.97395261509231,0,0,0,1
1000,4.98671199102395,9.27143011698791,9.97342398204789,0,0,0,1
1010,4.98644502278807,9.26415753114772,9.97289004557614,0,0,0,1
1020,4.98617540298049,9.25688533659752,9.97235080596098,0,0,0,1
1030,4.98590313174457,9.24961353720419,9.97180626348915,0,0,0,1
1040,4.98562820922509,9.2423421368344,9.97125641845019,0,0,0,1
1050,4.98535063556824,9.23507113935459,9.97070127113649,0,0,0,1
1060,4.98507041092162,9.22780054863099,9.97014082184324,0,0,0,1
1070,4.98478753543423,9.22053036852958,9.96957507086845,0,0,0,1
1080,4.98450200925649,9.21326060291616,9.96900401851297,0,0,0,1
1090,4.98421383254022,9.20599125565625,9.96842766508045,0,0,0,1
1100,4.98392300543868,9.1987223306152,9.96784601087736,0,0,0,1
1110,4.9836295281065,9.19145383165812,9.96725905621301,0,0,0,1
1120,4.98333340069975,9.18418576264987,9.96666680139949,0,0,0,1
1130,4.98303462337588,9.17691812745512,9.96606924675176,0,0,0,1
1140,4.98273319629378,9.1696509299383,9.96546639258757,0,0,0,1
1150,4.98242911961374,9.16238417396363,9.96485823922748,0,0,0,1
1160,4.98212239349745,9.15511786339509,9.9642447869949,0,0,0,1
1170,4.98181301810802,9.14785200209646,9.96362603621604,0,0,0,1
1180,4.98150099360997,9.14058659393127,9.96300198721994,0,0,0,1
1190,4.98118632016922,9.13332164276285,9.96237264033844,0,0,0,1
1200,4.98086899795312,9.12605715245429,9.96173799590623,0,0,0,1
1210,4.9805490271304,9.11879312686846,9.9610980542608,0,0,0,1
